obligation	blocks	adsmtc	wall_ms	goal	z3_fixture	lusmt_fixture	class	bail_reason
datatypes-match-1/ob01	11	unknown	1359	goal: `datatypes_match_1!turn_right.?`(`Poly%datatypes_match_1!Dir.`(`datatypes_match_1!tu	z3=7v/0e	lusmt=3v/4e	solver-unknown	-
datatypes-match-1/ob02	11	unsat	8	goal: true	z3=7v/0e	lusmt=3v/4e	verified	-
datatypes-match-1/ob03	11	unknown	1144	goal: `datatypes_match_1!dx.?`(`Poly%datatypes_match_1!Dir.`(`datatypes_match_1!turn_right	z3=7v/0e	lusmt=3v/4e	solver-unknown	-
datatypes-match-1/ob04	11	unsat	8	goal: true	z3=7v/0e	lusmt=3v/4e	verified	-
datatypes-match-1/ob05	11	unsat	2378	goal: Add(`datatypes_match_1!abs1.?`(I(`datatypes_match_1!dx.?`(`Poly%datatypes_match_1!Di	z3=7v/0e	lusmt=3v/4e	verified	-
datatypes-match-1/ob06	11	unsat	8	goal: true	z3=7v/0e	lusmt=3v/4e	verified	-
datatypes-match-1/ob07	11	unsat	875	goal: forall `d$`: Poly. has_type(`d$`, `TYPE%datatypes_match_1!Dir.`) ==> Sub(0, 1) <= `d	z3=7v/0e	lusmt=3v/4e	verified	-
datatypes-match-1/ob08	11	unknown	4681	goal: `tmp%1` = (`datatypes_match_1!turn_right.?`(`Poly%datatypes_match_1!Dir.`(`datatypes	z3=7v/0e	lusmt=3v/4e	solver-unknown	-
datatypes-match-1/ob09	11	unsat	8	goal: true	z3=7v/0e	lusmt=3v/4e	verified	-
datatypes-match-1/ob10	11	unsat	924	goal: `r!` = (if `is-datatypes_match_1!Dir./North`(`d!`) then `datatypes_match_1!Dir./East	z3=7v/0e	lusmt=3v/4e	verified	-
datatypes-match-1/ob11	11	unsat	8	goal: true	z3=7v/0e	lusmt=3v/4e	verified	-
datatypes-match-2/ob01	9	unknown	3	goal: (`is-datatypes_match_2!Status./Running`(`s!`) ==> `p@` = `datatypes_match_2!Status./	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-2/ob02	9	unknown	3	goal: `datatypes_match_2!wf.?`(`Poly%datatypes_match_2!Status.`(`s!`)) ==> (`is-datatypes_	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-2/ob03	9	unknown	3	goal: `datatypes_match_2!wf.?`(`Poly%datatypes_match_2!Status.`(`datatypes_match_2!advance	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-2/ob04	9	unknown	2	goal: true	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-2/ob05	9	unknown	3	goal: `tmp%1` = `datatypes_match_2!Task./Task/status`(`%Poly%datatypes_match_2!Task.`(`Pol	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-2/ob06	9	unknown	3	goal: true	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-2/ob07	9	unknown	3	goal: (`is-datatypes_match_2!MaybeStatus./Nothing`(`m!`) ==> `%%switch_label%%0`) and (not	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-2/ob08	9	unknown	3	goal: `r!` = (if `is-datatypes_match_2!Status./Idle`(`s!`) then 0 else if `is-datatypes_ma	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
datatypes-match-2/ob09	9	unknown	2	goal: true	z3=6v/0e	lusmt=3v/3e	stage-bail	elaborate failed: unsupported: unknown function symbol `datatypes_match_2!Status./Running/?0`
